DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE,PRECIO MAXIMO DE VENTA TRANSACCION FINAL COMERCIAL
MONTELUKAST,MONTELUKAST,SOLIDO,COASPHARMA,NO REGULADO
MONTELUKAST,CERROKAST,SOLIDO,PATMAR,NO REGULADO
MONTELUKAST,AMISPED,SOLIDO,SANOFI AVENTIS,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,AMERICAN GENERICS,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,TECNOQUIMICAS,NO REGULADO
MONTELUKAST,AIRBRON,SOLIDO,LABINCO,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,WINTHROP,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,MEMPHIS,NO REGULADO
MONTELUKAST,KASTMAR,SOLIDO,SIEGFRIED,NO REGULADO
MONTELUKAST,XALAR,SOLIDO,PROCAPS,NO REGULADO
MONTELUKAST,ASMONT,SOLIDO,BUSSIE,NO REGULADO
MONTELUKAST,LEUCOTREN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,GENFAR,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,LA SANTE,NO REGULADO
MONTELUKAST,BLOW,SOLIDO,GRUFARMA,NO REGULADO
MONTELUKAST,LUKAST,SOLIDO,LAFRANCOL,NO REGULADO
PILOCARPINA,PILOCARPINA CLORHIDRATO,SOLIDO,LAFRANCOL,NO REGULADO
PILOCARPINA,SALIVIA,SOLIDO,NOVAMED,NO REGULADO
PILOCARPINA,PILOCARPINA,SOLIDO,GENFAR,NO REGULADO
PILOCARPINA,PICARPIN,SOLIDO,HUMAX,NO REGULADO
PILOCARPINA,SITOGREN,SOLIDO,BECHEMICAL,NO REGULADO
PILOCARPINA,CARPINELO,SOLIDO,SERANEST,NO REGULADO
PILOCARPINA,PILOC,SOLIDO,PHARM SERVICES,NO REGULADO
PILOCARPINA,BALANXART,SOLIDO,BALANCE,NO REGULADO
PILOCARPINA,CARPIX,SOLIDO,LEGRAND,NO REGULADO
PILOCARPINA,PERNOVIN,SOLIDO,SYNTHESIS,NO REGULADO
PILOCARPINA,SALAGEN,SOLIDO,AMDIPHARM,NO REGULADO
TOPOTECAN,TOPOTECAN,LIQUIDO/SOLIDO,VENUS,NO REGULADO
METOPROLOL,BETOPROLOL,SOLIDO,ROPSOHN,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,NTI NEW TRADE,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,PENTACOOP,NO REGULADO
METOPROLOL,METOPROPOL,SOLIDO,ROPSOHN,NO REGULADO
METOPROLOL,PRESARTIN,SOLIDO,BLUEPHARMA,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,LAPROFF,NO REGULADO
METOPROLOL,LOPRESOR,SOLIDO,NOVARTIS,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,WINTHROP,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,MEMPHIS,NO REGULADO
METOPROLOL,TENSOPROL,SOLIDO,BIOQUIFAR,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,TECNOQUIMICAS,NO REGULADO
METOPROLOL,GRANDIL,SOLIDO,ANZG,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,LA SANTE,NO REGULADO
CARVEDILOL,CARVEDILOL,SOLIDO,MEMPHIS,NO REGULADO
CARVEDILOL,CARDANCOR,SOLIDO,SIEGFRIED,NO REGULADO
CARVEDILOL,CARVEDILOL,SOLIDO,MK,NO REGULADO
CARVEDILOL,CARVEDILOL,SOLIDO,TECNOQUIMICAS,NO REGULADO
CARVEDILOL,CARVEDILOL,SOLIDO,LA SANTE,NO REGULADO
CARVEDILOL,BETAPLEX,SOLIDO,SYNTHESIS,NO REGULADO
CARVEDILOL,CARVEDILOL,SOLIDO,SANOFI AVENTIS,NO REGULADO
CARVEDILOL,CARVEDILOL,SOLIDO,WINTHROP,NO REGULADO
CARVEDILOL,TENVEDIL,SOLIDO,BLASKOV,NO REGULADO
CARVEDILOL,VASODYL,SOLIDO,GRUFARMA,NO REGULADO
CARVEDILOL,CORYOL,SOLIDO,SANDOZ,NO REGULADO
CARVEDILOL,CARVEDIL,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
CARVEDILOL,GARMISCH CARVEDIL,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTAN,MOFILET,SOLIDO,BIOREG PHARM,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,ECAR,NO REGULADO
IRBESARTAN,IRBIGEN,SOLIDO,HETERO,NO REGULADO
IRBESARTAN,IRBEVITAE,SOLIDO,GALENICUM HEALTH,NO REGULADO
IRBESARTAN,IRBEPREX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTAN,NADICIP,SOLIDO,CIPLA,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,SALUSPHARMA,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,BLUEPHARMA,NO REGULADO
IRBESARTAN,CORIONAL,SOLIDO,CLOSTER PHARMA,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,LA SANTE,NO REGULADO
IRBESARTAN,ARAPLUS,SOLIDO,BIOTOSCANA,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,SANDOZ,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,AMERICAN GENERICS,NO REGULADO
IRBESARTAN,IRBESARTAN SANDOZ,SOLIDO,SANDOZ,NO REGULADO
IRBESARTAN,IRBETT,SOLIDO,SIEGFRIED,NO REGULADO
TOLTERODINA,TOLDY,SOLIDO,HETERO,NO REGULADO
TOLTERODINA,TOXTREX,SOLIDO,XINETIX PHARMA,NO REGULADO
TOLTERODINA,TEROTOL,SOLIDO,PROCAPS,NO REGULADO
TOLTERODINA,TOLTERIN,SOLIDO,PROCAPS,NO REGULADO
TOLTERODINA,TOLTERODINE,SOLIDO,SEVEN PHARMA,NO REGULADO
TOLTERODINA,TOLTERODINA,SOLIDO,SEVEN PHARMA,NO REGULADO
TOLTERODINA,TOLTEDIX,SOLIDO,LAFRANCOL,NO REGULADO
ITRACONAZOL,CLOTRICAP,SOLIDO,GLENMARK,NO REGULADO
ITRACONAZOL,ITROL,SOLIDO,SUIPHAR,NO REGULADO
ITRACONAZOL,MICOTRAZOL,SOLIDO,BIOQUIFAR,NO REGULADO
ANASTROZOL,TRANAZ,SOLIDO,LEGRAND,NO REGULADO
ANASTROZOL,PRAZOLAR,SOLIDO,CIPLA,NO REGULADO
ANASTROZOL,ANASTROZOL,SOLIDO,PINT PHARMA,NO REGULADO
ANASTROZOL,ANASTROZOL DENK,SOLIDO,DENK PHARMA,NO REGULADO
ANASTROZOL,ANASTOLE,SOLIDO,HETERO,NO REGULADO
ANASTROZOL,HB ONCOCARE,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
ANASTROZOL,ANASTROZOL,SOLIDO,SEVEN PHARMA,NO REGULADO
ANASTROZOL,AIZOL,SOLIDO,NEXT PHARMA SOURCING,NO REGULADO
ANASTROZOL,ANASTROZOL,SOLIDO,FRESENIUS,NO REGULADO
ANASTROZOL,ANASTROZOL,SOLIDO,SANDOZ,NO REGULADO
ANASTROZOL,ANANA,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ANASTROZOL,ARMISTRAZ,SOLIDO,PINT PHARMA,NO REGULADO
ANASTROZOL,TROZOLET,SOLIDO,MONTE VERDE,NO REGULADO
CARBAMAZEPINA,CARBAMAZEPINA,SOLIDO,LAPROFF,NO REGULADO
CARBAMAZEPINA,TEGRETOL RETARD,SOLIDO,NOVARTIS,NO REGULADO
CARBAMAZEPINA,CARBAMAZEPINA,SOLIDO,AMERICAN GENERICS,NO REGULADO
DESVENLAFAXINA,DESVE,SOLIDO,EUROFARMA,NO REGULADO
DESVENLAFAXINA,VENCONTROL,SOLIDO,SANOFI AVENTIS,NO REGULADO
DESVENLAFAXINA,DESVENLAFAXINA,SOLIDO,WINTHROP,NO REGULADO
DESVENLAFAXINA,DESVENLAFAXINA,SOLIDO,MK,NO REGULADO
RILUZOL,RILUZOL,SOLIDO,ACTIFARMA,NO REGULADO
TICAGRELOR,VASOGRELOR,SOLIDO,THE LABS,NO REGULADO
TICAGRELOR,TIARE,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
TICAGRELOR,TICAGREL,SOLIDO,ALKEM,NO REGULADO
ITRACONAZOL,ITRACONAZOL,LIQUIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
ITRACONAZOL,FUNGITRAL,LIQUIDO,SALUSPHARMA,NO REGULADO
CARBAMAZEPINA,CARBAMAZEPINA,LIQUIDO,BUSSIE,NO REGULADO
CARBAMAZEPINA,TEGRETOL,LIQUIDO,NOVARTIS,NO REGULADO
CARBAMAZEPINA,CARBAMAZEPINA,LIQUIDO,MEMPHIS,NO REGULADO
CARBAMAZEPINA,CARBEPIL,LIQUIDO,MATPRIFAR,NO REGULADO
TACROLIMUS,T,TACROLIMUS 45MG/15G (30MG/100G),TOPICA X 1,NO REGULADO
TACROLIMUS,T,TACROLIMUS 15MG/15G (100MG/100G),TOPICA X 1,NO REGULADO
TACROLIMUS,CROMUS,SEMISOLIDO,PROCAPS,NO REGULADO
LEVETIRACETAM,UBINONA,LIQUIDO,LAFRANCOL,NO REGULADO
LEVETIRACETAM,LEVETIRACETAM,LIQUIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
LEVETIRACETAM,CONVULAM,LIQUIDO,SALUSPHARMA,NO REGULADO
LEVETIRACETAM,ACIZAN,LIQUIDO,ALTADIS,NO REGULADO
LEVETIRACETAM,ICTAFIN,LIQUIDO,NOVAMED,NO REGULADO
LEVETIRACETAM,LEVETIRACETAM,LIQUIDO,WINTHROP,NO REGULADO
LEVETIRACETAM,KEPERTAN,LIQUIDO,AH ROBINS,NO REGULADO
LEVETIRACETAM,KOPODEX,LIQUIDO,SYNTHESIS,NO REGULADO
OXIDO,PULMONOX,GAS,MESSER,NO REGULADO
OXIDO,INOFLO,GAS,MESSER,NO REGULADO
OXIDO,NOXAP,GAS,CRYOGAS,NO REGULADO
RISPERIDONA,RISPERIDONA,LIQUIDO,SANOFI AVENTIS,NO REGULADO
RISPERIDONA,RISPERIDONA,LIQUIDO,SANDOZ,NO REGULADO
RISPERIDONA,SPIRON,LIQUIDO,ANDROMACO,NO REGULADO
BRIMONIDINA,BRIMOFTAL PF,LIQUIDO,TECNOFAR,NO REGULADO
BRIMONIDINA,GLAUCODINA,LIQUIDO,SALUS PHARMA,NO REGULADO
BRIMONIDINA,BRIMONIDINA TARTRATO,LIQUIDO,CAPLIN POINT,NO REGULADO
BRIMONIDINA,TARTRATO DE BRIMONIDINA,LIQUIDO,BIO ESTERIL,NO REGULADO
BRIMONIDINA,PRESSOFTALM SOFT,LIQUIDO,BIO ESTERIL,NO REGULADO
TIMOLOL,TIMOPRES,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
TIMOLOL,TIMOPTOL,LIQUIDO,MUNDIPHARMA,NO REGULADO
TIMOLOL,TIMOLOL,LIQUIDO,MEMPHIS,NO REGULADO
TIMOLOL,TIMOLOL MALEATO,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS,NO REGULADO
TIMOLOL,SYVIMOL,LIQUIDO,SYV PHARMA,NO REGULADO
TIMOLOL,OCUPRESS,LIQUIDO,FARMASER,NO REGULADO
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 100,NO REGULADO
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 50,NO REGULADO
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 25,NO REGULADO
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 16,NO REGULADO
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 12,NO REGULADO
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 1,NO REGULADO
TIMOLOL,TIOF,LIQUIDO,SAVAL,NO REGULADO
TIMOLOL,OFTIMEX,LIQUIDO,BIOCHEM,NO REGULADO
TIMOLOL,GLAUCOPHARM,LIQUIDO,OPHARM,NO REGULADO
TIMOLOL,TIMOLET,LIQUIDO,LABORATORIOS RICHMOND,NO REGULADO
TIMOLOL,OFTALMOTRILOL,LIQUIDO,INCOBRA,NO REGULADO
TIMOLOL,PRESTIBLOCK,LIQUIDO,BLASKOV,NO REGULADO
TIMOLOL,MALEATO,LIQUIDO,MEMPHIS,NO REGULADO
TIMOLOL,OFEPRESS,LIQUIDO,VISIONEX,NO REGULADO
TIMOLOL,TIMOLOL,LIQUIDO,TECNOQUIMICAS,NO REGULADO
TIMOLOL,TIMOLOL,LIQUIDO,LA SANTE,NO REGULADO
LATANOPROST,CLIROPTA,LIQUIDO,BAUSCH,NO REGULADO
LATANOPROST,KAIROS PF,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS,NO REGULADO
LATANOPROST,BALANPROST,LIQUIDO,BALANCE,NO REGULADO
LATANOPROST,OFTIDON,LIQUIDO,SYNTHESIS,NO REGULADO
LATANOPROST,GLAUCOFTAL,LIQUIDO,TECNOQUIMICAS,NO REGULADO
BIMATOPROST,CAREPROST,LIQUIDO,SUN PHARMACEUTICAL,NO REGULADO
BIMATOPROST,BIMAPROS,LIQUIDO,TECNOQUIMICAS,NO REGULADO
BIMATOPROST,VISIONGAN,LIQUIDO,VITALIS,NO REGULADO
TRAVOPROST,TRAVATAN,LIQUIDO,ALCON,NO REGULADO
TRAVOPROST,FOCUS,LIQUIDO,SYNTHESIS,NO REGULADO
TRAVOPROST,TRAVIPROST,LIQUIDO,VITALIS,NO REGULADO
DORZOLAMIDA,TRUSOPT,LIQUIDO,MUNDIPHARMA,NO REGULADO
DORZOLAMIDA,DORZOLAM,LIQUIDO,TECNOQUIMICAS,NO REGULADO
DORZOLAMIDA,DORCOGLAT,LIQUIDO,PROFMA,NO REGULADO
MEMANTINA,NORMOKIN,SOLIDO,SOLUCIONES INTEGRALES REGULATORIAS,NO REGULADO
MEMANTINA,NORMOKIN,SOLIDO,ACHE LABORATORIOS FARMACEUTICOS,NO REGULADO
MEMANTINA,MEMANTINA,SOLIDO,BIOGARAN,NO REGULADO
MEMANTINA,BIOGARAN,SOLIDO,BIOGARAN,NO REGULADO
MEMANTINA,MEMANTINA CLORHIDRATO,SOLIDO,LAPROFF,NO REGULADO
MEMANTINA,MEMOXIL,SOLIDO,LABORATORIOS RICHMOND,NO REGULADO
MEMANTINA,MEMANTINA,SOLIDO,SALUSPHARMA,NO REGULADO
MEMANTINA,DINIVE,SOLIDO,ALTADIS,NO REGULADO
MEMANTINA,MEMDRIVE,SOLIDO,AUROBINDO,NO REGULADO
MEMANTINA,MEMOREX,SOLIDO,NOVAMED,NO REGULADO
MEMANTINA,ADMENTA,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
MEMANTINA,MODUALZ,SOLIDO,TECNOQUIMICAS,NO REGULADO
MEMANTINA,ALZANTINA,SOLIDO,SALUSPHARMA,NO REGULADO
MEMANTINA,MERITAL,SOLIDO,SIEGFRIED,NO REGULADO
MEMANTINA,MEMANTINA,SOLIDO,WINTHROP,NO REGULADO
MEMANTINA,VALCOX,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MEMANTINA,TIMANTIL,SOLIDO,PROCAPS,NO REGULADO
MEMANTINA,CORDURE,SOLIDO,BUSSIE,NO REGULADO
RISPERIDONA,RISPERDAL CONSTA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
RISPERIDONA,RISPERDAL,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
RISPERIDONA,ZYRISP,SOLIDO,LA SANTE,NO REGULADO
RISPERIDONA,ISPERIN,SOLIDO,MOMENTA,NO REGULADO
RISPERIDONA,RISOX,SOLIDO,LAFRANCOL,NO REGULADO
RISPERIDONA,RISOX O.D.,SOLIDO,LAFRANCOL,NO REGULADO
RISPERIDONA,RISNIA,SOLIDO,CIPLA,NO REGULADO
RISPERIDONA,RISPERIDONA,SOLIDO,BRAINPHARMA,NO REGULADO
RISPERIDONA,RISDONA,SOLIDO,HUMAX,NO REGULADO
RISPERIDONA,RISPOLUX,SOLIDO,SANDOZ,NO REGULADO
RISPERIDONA,SPIRON,SOLIDO,ANDROMACO,NO REGULADO
RISPERIDONA,PROCAPS ISPERIN,SOLIDO,PROCAPS,NO REGULADO
RISPERIDONA,PROCAPS,SOLIDO,PROCAPS,NO REGULADO
RISPERIDONA,ISPERIN,SOLIDO,PROCAPS,NO REGULADO
RISPERIDONA,RISOFREN,SOLIDO,BLUEPHARMA,NO REGULADO
RISPERIDONA,TRACTAL,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TIOTROPIO,NEUMOTROPIO,SOLIDO,EXELTIS,NO REGULADO
TIOTROPIO,TIOZIDE CAPSUBRRISS,SOLIDO,CIPLA,NO REGULADO
TIOTROPIO,BROMURO DE TIOTROPIO,SOLIDO,BIOSYNTEC,NO REGULADO
TIOTROPIO,TEROMA,SOLIDO,BIOTOSCANA,NO REGULADO
TIOTROPIO,TIOSYNT,SOLIDO,BCN MEDICAL,NO REGULADO
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,CAPLIN,NO REGULADO
TIGECICLINA,EXPOCICLINA,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,NEXT PHARMA SOURCING,NO REGULADO
TIGECICLINA,TIGEVITAE,LIQUIDO/SOLIDO,GALENICUM HEALTH,NO REGULADO
TIGECICLINA,GECLIX,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,SETAA,NO REGULADO
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
TIGECICLINA,LINICETIL,LIQUIDO/SOLIDO,PISA,NO REGULADO
TIGECICLINA,TIGLEX,LIQUIDO/SOLIDO,GALENICUM HEALTH,NO REGULADO
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
TIGECICLINA,TIGECIC,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
TIGECICLINA,TIGECLIN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
TIGECICLINA,TYGACIL,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DORIPENEM,DORIPENEM,LIQUIDO/SOLIDO,COMERCIAL MEDICA,NO REGULADO
DORIPENEM,REDIDOR,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
DORIPENEM,DOREXTRA,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
DORIPENEM,DORILEG,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
DORIPENEM,DORIPURE,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
DORIPENEM,TESARE,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
DORIPENEM,DORVAK,LIQUIDO/SOLIDO,VICAR,NO REGULADO
DORIPENEM,DORIBAX,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
MOXIFLOXACINA,PIXIRIV,LIQUIDO/SOLIDO,PISA,NO REGULADO
MOXIFLOXACINA,BEOMAX,LIQUIDO/SOLIDO,BIOFLUIDOS & FARMA,NO REGULADO
ENFUVIRTIDE,FUZEON,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
PRASUGREL,PERKUNAL,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
FLUDARABINA,FLUDARA,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
FLUDARABINA,ALDARABINA,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
FLUDARABINA,FORCLINA 50,LIQUIDO/SOLIDO,LKM,NO REGULADO
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,BLAU,NO REGULADO
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
FLUDARABINA,LUDABINA,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,LIBRA,NO REGULADO
VALPROICO,ATEMPERATOR,SOLIDO,ARMSTRONG,NO REGULADO
VALPROICO,FERBIN,SOLIDO,NOVAMED,NO REGULADO
VALPROICO,DEPAKENE,SOLIDO,LAFRANCOL,NO REGULADO
VALPROICO,VALCOTE ER,SOLIDO,LAFRANCOL,NO REGULADO
VALPROICO,DICORATE,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
VALPROICO,VALPROSID,SOLIDO,BAGO,NO REGULADO
VALPROICO,DRUGTECH NEURACTIN,SOLIDO,SYNTHESIS,NO REGULADO
VALPROICO, VALPROICO,SOLIDO,LABMEDICK,NO REGULADO
VALPROICO,VALSUP,SOLIDO,SIEGFRIED,NO REGULADO
PAZOPANIB,VOTRIENT,SOLIDO,NOVARTIS,NO REGULADO
VORICONAZOL,SIVOZ,SOLIDO,LEGRAND,NO REGULADO
VORICONAZOL,OVICAZOL,SOLIDO,STEIN,NO REGULADO
VORICONAZOL,VORIOLE,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
VORICONAZOL,NEUCLER,SOLIDO,PROCAPS,NO REGULADO
VORICONAZOL,INVOTAS,SOLIDO,INTAS,NO REGULADO
VORICONAZOL,VORICOX,SOLIDO,LAFRANCOL,NO REGULADO
VORICONAZOL,VFEND,SOLIDO,PFIZER,NO REGULADO
NOMEGESTROL,FEMIDEN,SOLIDO,GADOR,NO REGULADO
NOMEGESTROL,FEMYPILL,SOLIDO,PROFAMILIA,NO REGULADO
NOMEGESTROL,NATUREL FEMME,SOLIDO,ANDROMACO,NO REGULADO
NOMEGESTROL,VENUXIA,SOLIDO,LAFRANCOL,NO REGULADO
DESMOPRESINA,DICPRESINA,LIQUIDO,ORPHANPHARMA,NO REGULADO
DESMOPRESINA,DESMOPRESINA,LIQUIDO,PISA,NO REGULADO
DESMOPRESINA,DESMOPRESIN,LIQUIDO,FERRING,NO REGULADO
DESMOPRESINA,EMOSINT,LIQUIDO/SOLIDO,KEDRION,NO REGULADO
POSACONAZOL,NOXAFIL,LIQUIDO,MERCK SHARP DOME,NO REGULADO
OXCARBAZEPINA,OXCARBAZEPINA,SOLIDO,BRAINPHARMA,NO REGULADO
OXCARBAZEPINA,OXCAR,SOLIDO,PINT PHARMA,NO REGULADO
OXCARBAZEPINA,OXICODAL,SOLIDO,SYNTHESIS,NO REGULADO
OXCARBAZEPINA,LONAZET,SOLIDO,LEGRAND,NO REGULADO
DOMPERIDONA,DOMPERIX,SOLIDO,EUROFARMA,NO REGULADO
DOMPERIDONA,ISEDRON,SOLIDO,JOINPHARM,NO REGULADO
DOMPERIDONA,DOMPERIDONA,SOLIDO,BLASKOV,NO REGULADO
MOMETASONA,NASONEX,LIQUIDO,MERCK SHARP DOME,NO REGULADO
MOMETASONA,FUROMET,LIQUIDO,GLENMARK,NO REGULADO
MOMETASONA,MOMENASE,LIQUIDO,CIPLA,NO REGULADO
MOMETASONA,RINAID,LIQUIDO,TECNOQUIMICAS,NO REGULADO
MOMETASONA,MOMETASYN,LIQUIDO,SYNTHESIS,NO REGULADO
MOMETASONA,METASPRAY,LIQUIDO,NOVAMED,NO REGULADO
MOMETASONA,FUROATO,LIQUIDO,TECNOFAR,NO REGULADO
MOMETASONA,FUROATO,LIQUIDO,LA SANTE,NO REGULADO
MOMETASONA,GARMISCH RINOSAL,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
MOMETASONA,PROCAPS,LIQUIDO,PROCAPS,NO REGULADO
MOMETASONA,MOMETASONA,LIQUIDO,COLMED,NO REGULADO
MOMETASONA,RINOSONA,LIQUIDO,BLASKOV,NO REGULADO
MOMETASONA,BIOMETASONA,LIQUIDO,BIOTOSCANA,NO REGULADO
MOMETASONA,RINOBUDEX,LIQUIDO,LAFRANCOL,NO REGULADO
ATORVASTATINA,EZETIMIBE/ATORVASTATINA,SOLIDO,MK,NO REGULADO
ATORVASTATINA,TIAZOMET,SOLIDO,SIEGFRIED,NO REGULADO
ATORVASTATINA,GARMISCH COLESTIR,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ATORVASTATINA,COLMIBE,SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
ATORVASTATINA,EZATOR,SOLIDO,LAFRANCOL,NO REGULADO
IXABEPILONA,IXEMPRA,LIQUIDO/SOLIDO,R,NO REGULADO
IBANDRONICO,IBANDRON,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
IBANDRONICO,BONESE,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
IBANDRONICO,DRONIBAN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
IBANDRONICO,BANDRO,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
ERITROPOYETINA,EPOYET,SOLIDO,BIOSIDUS,NO REGULADO
ERITROPOYETINA,ERITROMAX,SOLIDO,BLAU,NO REGULADO
ERITROPOYETINA,EPOYET 1000,SOLIDO,BIOSIDUS,NO REGULADO
ERITROPOYETINA,ERITROMAX,LIQUIDO,BLAU,NO REGULADO
ERITROPOYETINA,ERITROPOYETINA,LIQUIDO,CENTRO DE INMUNOLOGIA MOLECULAR,NO REGULADO
ERITROPOYETINA,ERITROPOYETINA,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
ERITROPOYETINA,ERITROPOYETINA HUMANA RECOMBINANTE,LIQUIDO,CIMAB,NO REGULADO
ERITROPOYETINA,ERITROPOYETINA,LIQUIDO,CIMAB,NO REGULADO
ERITROPOYETINA,RECORMON,LIQUIDO,ROCHE,NO REGULADO
ERITROPOYETINA,ERITINA,LIQUIDO,DONG A,NO REGULADO
ERITROPOYETINA,EPOYET,LIQUIDO,BIOSIDUS,NO REGULADO
SOMATOSTATINA,DELT-SOMAT,LIQUIDO/SOLIDO,DELTA,NO REGULADO
SOMATOSTATINA,SOMATIN,LIQUIDO/SOLIDO,LYOMARK PHARMA,NO REGULADO
ERTAPENEM,ERTAPENEM,LIQUIDO/SOLIDO,VICARFARMACEUTICA,NO REGULADO
ERTAPENEM,IRTAPRED,LIQUIDO/SOLIDO,DR REDDY,NO REGULADO
ERTAPENEM,ERTAGRAM,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
ERTAPENEM,ERTACQURE 1G,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ERTAPENEM,INVANZ,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
CLOFARABINA,METISA,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
CLOFARABINA,FARABIN,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
CLOFARABINA,RELUKA,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
CLOFARABINA,CLOFICRIS,LIQUIDO/SOLIDO,LKM,NO REGULADO
CLOFARABINA,CLOFAZIC,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
CLOFARABINA,CLOLAR,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
FILGRASTIM,NEUPOGEN,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
